prediction,label,bleu
"Today there are communication, who didn't have any time when he had his book, and it's much more than normal, or ""D"" -- or ""D.""","Communications software now exists that wasn't available when Risen was writing his book, and is much more surveillance-resistant than regular emails or phone calls.",0.09500266321476487
"A technology is Sequo HD, a Open-to-to-to-to-to-to-to-to-to-to-to-to-to-so-so-so-so","For example, one such tool is SecureDrop, an open-source whistleblower submission system that was originally created by the late Internet luminary Aaron Swartz, and is now developed at the non-profit",0.0
"Instead of a E-to-to-to-to-sum, you go on a news-to-to-s-to-a-to-s-to-s-to-to-sum-sum-sum-","Instead of sending an email, you go to a news organization's website, like this one here on The Washington Post.",0.0
"And you can take a look at the information, or information, as you can get in every single contact.","From there, you can upload a document or send information much like you would on any other contact form.",0.0
These are going to be able to be able to get rid of the world that's just the most important news of the news of the news.,It'll then be encrypted and stored on a server that only the news organization has access to.,0.0
"So the government can't be able to make information, and many of the information that they would be told you, from the rock, it would not be the way to be able to do it.","So the government can no longer secretly demand the information, and much of the information they would demand wouldn't be available in the first place.",0.0
"Sequo BDD, but only one little part of the universe to protect the press in the 21st century.","SecureDrop, though, is really only a small part of the puzzle for protecting press freedom in the 21st century.",0.2348836443827469
"Unfortunately governments are always developing governments to the world, new, new, the world, all of us.","Unfortunately, governments all over the world are constantly developing new spying techniques that put us all at risk.",0.0
"It's just to imagine that not only technology as Ed as Ed as Eding a possibility of a possibility, Molelayer, Moleuoso. It's just as important that we're going to make the","And it's up to us going forward to make sure that it's not just the tech-savvy whistleblowers, like Edward Snowden, who have an avenue for exposing wrongdoing.",0.0
"And the next one of the soldiers who wants to be able to know about soldiers and talk about the next environmental issues, the next environmental issues, the Al Gore, the Al Gore, the Al Gore, the Al Gore, a little bit of","It's just as vital that we protect the next veteran's health care whistleblower alerting us to overcrowded hospitals, or the next environmental worker sounding the alarm about Flint's dirty water,",0.0
"And then, all these technologies were not just for those who want to want to be able to protect the crime, but to protect our own self-interest.","After all, these tools weren't just built to help the brave men and women who expose crimes, but are meant to protect all of our rights under the Constitution.",0.0
Thank you.,Thank you.,0.0
" ⁇ 2 percent of the largest country was created the largest data of the story, ""The ""The Fiban,"" that the rich and Matters."""," ⁇ On April 3, 2016 we saw the largest data leak in history. ⁇   ⁇ The Panama Papers exposed rich and powerful people ⁇   ⁇ hiding vast amounts of money in offshore accounts. ⁇   ⁇ What does this mean",0.0
The aid of these things are a small amount of the secret of the world's point of the coffee.,The release of these papers from Panama lifts the veil on a tiny piece of the secretive offshore world.,0.0
"We're going to get a sense of how clients, and what's going on, and we're going to go to companies like, ""Okay, we need a lot of companies. Can you take a?""","We get an insight into how clients and banks and lawyers go to companies like Mossack Fonseca and say, ""OK, we want an anonymous company, can you give us one?""",0.1020626309989127
"We actually see the E-and-to-a-a-half, the whole system works like this.","So you actually get to see the emails, you get to see the exchanges of messages, you get to see the mechanics of how this works, how this operates.",0.0
This already has been very excited about the first very low consequences.,"Now, this has already started to have pretty immediate repercussions.",0.0
Iceland is back to the front of the  ⁇ .,The Prime Minister of Iceland has resigned.,0.0
"There's also a very powerful that a complete-scale-fairy of the Pacific Bamian Bamian, in BamoCo.",We've also had news that an ally of the brutal Syrian dictator Bashar Al-Assad has also got offshore companies.,0.0
"It will be that a half of two billion dollars a president of Russia of Russia, about a friend of mine, a friend of mine, a Cabo, a C.","There's been allegations of a  ⁇ 2 billion money trail that leads back to President Vladimir Putin of Russia via his close childhood friend, who happens to be a top cellist.",0.0
"Now, there's a lot of rich people and there are other people who are going to wait for the next door, and wait for the next one.",And there will be a lot of rich individuals out there and others who will be nervous about the next set of stories and the next set of leaked documents.,0.11468301271648564
"Now, this sounds like the sea level of a Gablay or a John Past-too.","Now, this sounds like the plot of a spy thriller or a John Grisham novel.",0.4002916772576474
"It seems to be called from you, I'm going to give people.","It seems very distant from you, me, ordinary people.",0.0
Why should we do what?,Why should we care about this?,0.0
"But the truth is, if the rich and the Makes in the field are able to get their weather in the coffee, and not all of their dignity, then it means less money for public health care, education, education, education, and","But the truth is that if rich and powerful individuals are able to keep their money offshore and not pay the taxes that they should, it means that there is less money for vital public services like healthcare, education, roads.",0.13251445746341228
And that's the thing that we all do.,And that affects all of us.,0.0
"For my organization, Walt, these are these crazy, these are these smart.","Now, for my organization Global Witness, this expos ⁇  has been phenomenal.",0.0
"In the world, media media and politicians like, like, Al Gore, they're going to be able to get some of a few years to create their money and to allow you for a few years, and to make a little bit of",We have the world's media and political leaders talking about how individuals can use offshore secrecy to hide and disguise their assets -- something we have been talking about and exposing for a decade.,0.0
"I think many people are very excited to understand the whole world, and it's hard to understand how these guys work together.","Now, I think a lot of people find this entire world baffling and confusing, and hard to understand how this sort of offshore world works.",0.1219889503126763
I always tell it how a woman's a high-term-term-term-term.,I like to think of it a bit like a Russian doll.,0.0
"So you have a company in another company, in a different company, which is almost impossible to understand who behind this particular one.","So you can have one company stacked inside another company, stacked inside another company, making it almost impossible to really understand who is behind these structures.",0.0
"It can be very difficult for the creation of the creation and the boat, and the medical one, and the medical society is really to understand what's important.","It can be very difficult for law enforcement or tax authorities, journalists, civil society to really understand what's going on.",0.1911416754879601
I think it also interesting that there are less about these things.,I also think it's interesting that there's been less coverage of this issue in the United States.,0.0
"And the key, because there were no one-year-old Americans who had a lot of these films that was in front of this, this system.","And that's perhaps because some prominent US people just haven't figured in this expos ⁇ , in this scandal.",0.0
"Now, it's not that there are no rich Americans who are in the coffee of her.","Now, that's not because there are no rich Americans who are stashing their assets offshore.",0.38053710786825434
"But by the principle, after the principle of this, the Bamon, Matteronononon, has fewer American clients.","It's just because of the way in which offshore works, Mossack Fonseca has fewer American clients.",0.19120817575042512
"We're going to see a data of the Caron of the Caron, or even from the Chana, or even from the Kuni, and the fact that have been able to see in the U.S","I think if we saw leaks from the Cayman Islands or even from Delaware or Wyoming or Nevada, you would see many more cases and examples linking back to Americans.",0.0
"In fact, it's so that you need to have less information, less information, less information to get a company as a result of a single-scale.","In fact, in a number of US states you need less information, you need to provide less information to get a company than you do to get a library card.",0.25805686842241526
"This kind of the illusion in the United States has been allowed to get rid of school school, school.",That sort of secrecy in America has allowed employees of school districts to rip off schoolchildren.,0.0
"It has to be able to make sure, especially at the more profound level.",It has allowed scammers to rip off vulnerable investors.,0.0
It's this kind of behavior that all of us.,This is the sort of behavior that affects all of us.,0.31105042156452656
Here we wanted to figure out how we wanted to figure out how all this looks in practice.,"Now, at Global Witness, we wanted to see what this actually looked like in practice.",0.0
How does that work?,How does this actually work?,0.0
So we took a nuclear weapons in the Pacific of 13th century in the 19 ⁇ .,So what we did is we sent in an undercover investigator to 13 Manhattan law firms.,0.0
"Our challenge was a more powerful time, the original money that wanted to buy money into the United States to buy a house, a private sector.","Our investigator posed as an African minister who wanted to move suspect funds into the United States to buy a house, a yacht, a jet.",0.35408189189867256
"We really found it all until a company, all the time, could be able to get rid of the money.","Now, what was truly shocking was that all but one of those lawyers provided our investigator with suggestions on how to move those suspect funds.",0.0
"These were all the common resources. No one of these called us as a single one, and of course, there was money to this problem with this system.","These were all preliminary meetings, and none of the lawyers took us on as a client and of course no money moved hands, but it really shows the problem with the system.",0.0
It's also important to look at this as an adult.,It's also important to not just think about this as individual cases.,0.24177037175577334
It's not about a single planet that has been given our full of the sea floor under the sea.,This is not just about an individual lawyer who's spoken to our undercover investigator and provided suggestions.,0.0
"It's not about a single-scale-scale-scale-scale, but it's a single-scale line.",It's not just about a particular senior politician who's been caught up in a scandal.,0.0
"It's about how the system works, through the corruption, from the corruption, and the whole thing is going to be used.","This is about how a system works, that entrenches corruption, tax evasion, poverty and instability.",0.0
"And to change this, we need to change the game.","And in order to tackle this, we need to change the game.",0.6321883186293793
We need to change the rules to create these kinds of behavior.,We need to change the rules of the game to make this sort of behavior harder.,0.33271680111128143
"It may be very low-scale, as if we couldn't do anything about it, as if we could not have anything else; as if it would always be the rich and the Matter and the Matter.","This may seem like doom and gloom, like there's nothing we can do about it, like nothing has ever changed, like there will always be rich and powerful individuals.",0.0
"But as a born, I see that there's a lot of change that there's been a lot of change.","But as a natural optimist, I do see that we are starting to get some change.",0.0
"In the last few years, we've seen a lot of the transparency, which is the physical companies of companies.","Over the last couple of years, we've seen a real push towards greater transparency when it comes to company ownership.",0.20331710659744467
The theme of the political attention was that David David David Conononon on the G8 year in North America.,This issue was put on the political agenda by the UK Prime Minister David Cameron at a big G8 Summit that was held in Northern Ireland in 2013.,0.0
"And then the U.S. in France, the U.N., who really come back to Europe, and who they were doing it.","And since then, the European Union is going to be creating central registers at a national level of who really owns and controls companies across Europe.",0.0
"One of the outside of the people is that the United States is the United States, the United States is going to be the United States.","One of the things that is sad is that, actually, the US is lagging behind.",0.0
"In both of the front of the law, a law of mine, but this doesn't make progress that we like to see.","There's bipartisan legislation that had been introduced in the House and the Senate, but it isn't making as much progress as we'd like to see.",0.11761250402138554
"We would really like to see how these principles of these huge amounts of these huge amounts of the world's world's dilemma, as a means to make a public and more of the United States.","So we'd really want to see the Panama leaks, this huge peek into the offshore world, be used as a way of opening up in the US and around the world.",0.0
"For us, for example, this is a moment of changes.","For us at Global Witness, this is a moment for change.",0.3541698766144061
We need people who are going to be able to see how to see other people who can get their real identity behind.,We need ordinary people to get angry at the way in which people can hide their identity behind secret companies.,0.0
"We need to need the economic, and we say, ""In the business is not good for the business.""","We need business leaders to stand up and say, ""Secrecy like this is not good for business.""",0.21800193956058223
We need politicians that recognize the problem and to get through the laws of the laws of the laws of the sea.,"We need political leaders to recognize the problem, and to commit to changing the law to open up this sort of secrecy.",0.0
"So, we can get the control of the light that now, the way we can get these kinds of fuel, corruption and money.","Together, we can end the secrecy that is currently allowing tax evasion, corruption, money laundering to flourish.",0.0
"This is the story, as I'm almost moving and in the front of a red-tunct.",I want to tell you the story about the time I almost got kidnapped in the trunk of a red Mazda Miata.,0.0
"One day, after I had my design, I made a black hole.",It's the day after graduating from design school and I'm having a yard sale.,0.0
"A guy in the red-tuncted, and looked at my things.",And this guy pulls up in this red Mazda and he starts looking through my stuff.,0.0
He gave one of my favorites.,And he buys a piece of art that I made.,0.0
"He was alone in the town, and he made a red country in the city, and he would go to the whole country.","And it turns out he's alone in town for the night, driving cross-country on a road trip before he goes into the Peace Corps.",0.0
I asked him a beer. He told me how he wanted to change the world.,So I invite him out for a beer and he tells me all about his passion for making a difference in the world.,0.0
It was done late. I was killed.,"Now it's starting to get late, and I'm getting pretty tired.",0.0
"While we made the laws of the mistakes I made the mistakes to ask, ""Where do you go to this night?""","As I motion for the tab, I make the mistake of asking him, ""So where are you staying tonight?""",0.0
"He made the whole thing worse: ""I don't know.""","And he makes it worse by saying, ""Actually, I don't have a place.""",0.0
"And I thought, ""Oh, man ⁇ ","And I'm thinking, ""Oh, man ⁇ """,0.5462757644646491
"What do I do?""",What do you do?,0.0
Who don't know?,"We've all been there, right?",0.0
Can I take a sleep?,Do I offer to host this guy?,0.0
"But I just met him just to know ⁇  He says, he would go to peace, but I don't know if he really want to go. I don't want to know if he really want to be able to go to the","But, I just met him -- I mean, he says he's going to the Peace Corps, but I don't really know if he's going to the Peace Corps and I don't want to end up kidn",0.19092964889933792
This is a little bit of a little bit of a little bit of a sudden.,That's a small trunk ⁇ ,0.0
"Then I heard a air, ""I've got a air-in-touch. You can go to my living.""","So then I hear myself saying, ""Hey, I have an airbed you can stay on in my living room.""",0.0
"One voice in my head, ""Oh, how do you say?""","And the voice in my head goes, ""Wait, what?""",0.22894156860669912
"And I went to bed, I went to the bed, and I thought, ""Oh, what did I tell me there?","That night, I'm laying in bed, I'm staring at the ceiling and thinking, ""Oh my god, what have I done?",0.0
A key to my living room.,There's a complete stranger sleeping in my living room.,0.2678284959130086
"What if he's crazy?""","What if he's psychotic?""",0.0
"I got a fear that I got out of the bed, on the door, on the door, and my family will go.","My anxiety grows so much, I leap out of bed, I sneak on my tiptoes to the door, and I lock the bedroom door.",0.13455802969960062
But he wasn't crazy.,It turns out he was not psychotic.,0.0
We're still in contact.,We've kept in touch ever since.,0.0
"The art, he had taken from me, on his classroom today, he's now teachers.",And the piece of art he bought at the yard sale is hanging in his classroom; he's a teacher now.,0.0
This was my first experience as a fire. It's changed my perspective.,"This was my first hosting experience, and it completely changed my perspective.",0.3661926362999429
"Maybe people who were going to be sold to me as a long-term, actually, friends were going to be discovered, just to be discovered?",Maybe the people that my childhood taught me to label as strangers were actually friends waiting to be discovered.,0.0
"People on my air, was normal for me, and when I went to San Francisco, I took the air, I took the air.","The idea of hosting people on airbeds gradually became natural to me and when I moved to San Francisco, I brought the airbed with me.",0.18503199561392894
"Let's take a long time, two years later ...",So now it's two years later.,0.21200626759025185
"I'm a very famous, almost like, my daughter, and the Matter is going to be the M.","I'm unemployed, I'm almost broke, my roommate moves out, and then the rent goes up.",0.0
I realized that there were a design-to-to-to-half design in the city. All of the city.,"And then I learn there's a design conference coming to town, and all the hotels are sold out.",0.0
I think creativity can create a lot of fun in fun.,And I've always believed that turning fear into fun is the gift of creativity.,0.0
"I wrote my best friend and new friend Brian said, ""Ban, I've got to make something like us to make something a designer-to-to-to-to-to-to-to-to-to-to","So here's what I pitch my best friend and my new roommate Brian Chesky: ""Brian, thought of a way to make a few bucks -- turning our place into 'designers bed and breakfast,' offering young designers who come",0.06785524917055177
"And then, ""Oh, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you know, you","Ha ⁇ """,0.0
"We put a website and so ""Lo-to-A-A-A-A-A-A-A-A-A-A-A-A-old  ⁇ -ray.",We built a basic website and Airbed and Breakfast was born.,0.0
"Three happy ideas at the most famous time for us 20 dollars on the air, on the air.",Three lucky guests got to stay on a 20-dollar airbed on the hardwood floor.,0.0
"They found it, and we also found it.","But they loved it, and so did we.",0.0
"I'm sure, our cheese-to-to-to-the-to-to-the-to-sum games, because we made them for our Goss.","I swear, the ham and Swiss cheese omelets we made tasted totally different because we made them for our guests.",0.21817429327773835
"We were using the whole city with them all the city, and when we were able to put our last few years, and the door to the door to the door, and I was Brian to us.","We took them on adventures around the city, and when we said goodbye to the last guest, the door latch clicked, Brian and I just stared at each other.",0.16551341351669868
Let's just discovered that we could find new friends and find our family?,Did we just discover it was possible to make friends while also making rent?,0.0
The things came into the very first thing.,The wheels had started to turn.,0.0
"My favorite thing, Narosch, Naroschu, and imagine us as a fire.","My old roommate, Nate Blecharczyk, joined as engineering co-founder.",0.0
We wanted to figure out whether you could make a business.,And we buckled down to see if we could turn this into a business.,0.0
"So we're going to take the investors: ""We want a website, on the people who are talking about their private sector, their sleep, their sleep, their own room, when you get out, you know, when you get out","Here's what we pitched investors: ""We want to build a website where people publicly post pictures of their most intimate spaces, their bedrooms, the bathrooms -- the kinds of rooms you usually keep closed when people come over.",0.10934719214844592
And then the Internet can make them then make people to stop them.,"And then, over the Internet, they're going to invite complete strangers to come sleep in their homes.",0.0
This is going to be the next big thing ⁇ ,"It's going to be huge ⁇ """,0.0
We're going to think the rockets.,"We sat back, and we waited for the rocket ship to blast off.",0.0
But they don't.,It did not.,0.0
"No, the very, the very early on the play is, would be able to take a business in a business, to go to other people.",No one in their right minds would invest in a service that allows strangers to sleep in people's homes.,0.0
Why?,Why?,0.0
"Because we've learned as kids that the most dangerous, that the most dangerous are dangerous.","Because we've all been taught as kids, strangers equal danger.",0.0
"If you have a problem, you've got to look at things you can well. We could do well.","Now, when you're faced with a problem, you fall back on what you know, and all we really knew was design.",0.0
"And the art of the art we've learned that design has been much more than just a very more than just a very good, and the more and the Habus -- it's the digital test.","In art school, you learn that design is much more than the look and feel of something -- it's the whole experience.",0.0
"We had learned how to make objects, but now we wanted to create design, between design, between people who never met.","We learned to do that for objects, but here, we were aiming to build Olympic trust between people who had never met.",0.0
Can you afford something like this?,Could design make that happen?,0.0
Is it possible to create tools?,Is it possible to design for trust?,0.37684991644924193
"I want to give you a deep sample, which is the way we're going to go.",I want to give you a sense of the flavor of trust that we were aiming to achieve.,0.2770051233854291
It's a better way of a living thing. It's going to take you out your train.,I've got a 30-second experiment that will push you past your comfort zone.,0.0
And that's the very high when you're ready.,"If you're up for it, give me a thumbs-up.",0.0
Take your cell phone in your hand.,"OK, I need you to take out your phones.",0.0
Now I'd like to say you're your cell phone.,"Now that you have your phone out, I'd like you to unlock your phone.",0.0
You're your cell phone cell phone your left-hand side.,Now hand your unlocked phone to the person on your left.,0.0
"This war of the ant you can now -- this is what the hell does, if they open the door.",That tiny sense of panic you're feeling right now -- is exactly how hosts feel the first time they open their home.,0.0
Because the only thing that's more about your cell phone is your home.,Because the only thing more personal than your phone is your home.,0.46825687910244024
"But you can't just read your teeth, you see your bedroom, your kitchen, your kitchen.","People don't just see your messages, they see your bedroom, your kitchen, your toilet.",0.40569661365913545
How does it feel like the phone of a car in the hands?,"Now, how does it feel holding someone's unlocked phone?",0.0
Most of the responsibility.,Most of us feel really responsible.,0.0
"So most of the most Gell, most Gell, when they're interested in.",That's how most guests feel when they stay in a home.,0.0
"Just out of that reason, our company can be able to do our company.",And it's because of this that our company can even exist.,0.0
Just even though who's actually the one in the middle of the cell phone?,"By the way, who's holding Al Gore's phone?",0.0
"Could you go to Twitter, that he's going to be the coffee of the president?",Would you tell Twitter he's running for President?,0.0
You can go back to cell phones now.,"OK, you can hand your phones back now.",0.0
They now have seen what kind of trust we want to do. I want to tell you some places.,"So now that you've experienced the kind of trust challenge we were facing, I'd love to share a few discoveries we've made along the way.",0.0
What if we had a little bit of this experiment?,What if we changed one small thing about the design of that experiment?,0.0
"What if your neighbor had just been out with his name; when he would be, where he would be, how he would be his dog, or his children?","What if your neighbor had introduced themselves first, with their name, where they're from, the name of their kids or their dog?",0.14380553624999493
"Imagine if you had 150 150 miles, who can all say, ""He can really be very well-being.""","Imagine that they had 150 reviews of people saying, ""They're great at holding unlocked phones ⁇ """,0.0
How would you feel if you'd like your cell phone?,Now how would you feel about handing your phone over?,0.0
Because a good deal with the future system that makes the trust.,a well-designed reputation system is key for building trust.,0.0
"And at the beginning, we've done some things wrong.",And we didn't actually get it right the first time.,0.0
It was hard for the people who are able to make sure.,It's hard for people to leave bad reviews.,0.0
"We decided to wait until both of the sea, and they were also allowed to wait for both their evidence, before we were online.","Eventually, we learned to wait until both guests and hosts left the review before we reveal them.",0.11739521786077453
"Last week, we discovered something new.","Now, here's a discovery we made just last week.",0.0
"We've got a study of a study. We're probably aware of how likely to be that people are talking about how they are, and they are.","We did a joint study with Stanford, where we looked at people's willingness to trust someone based on how similar they are in age, location and geography.",0.0
If we look at the most of the people who are most of us.,"The research showed, not surprisingly, we prefer people who are like us.",0.0
"The more differences we find, the less about.","The more different somebody is, the less we trust them.",0.0
This is a natural social social interaction.,"Now, that's a natural social bias.",0.0
"And then it's going to be, if you get the call of a person in our case -- in our case.","But what's interesting is what happens when you add reputation into the mix, in this case, with reviews.",0.0
"If you have less than three of these things, it's nothing.","Now, if you've got less than three reviews, nothing changes.",0.0
"But you know more than 10, it changes.","But if you've got more than 10, everything changes.",0.29377167835760565
"A good call, a good call.",High reputation beats high similarity.,0.0
So the real design can help us help some of our deep-up.,The right design can actually help us overcome one of our most deeply rooted biases.,0.0
And we also think that trust from it is how much you're going to be able to imagine.,Now we also learned that building the right amount of trust takes the right amount of disclosure.,0.0
Here you see the most fundamental message on the first message of a star.,This is what happens when a guest first messages a host.,0.0
"If you go too little, like, ""Hi ⁇ "" -- you don't get a rather answer.","If you share too little, like, ""Yo,"" acceptance rates go down.",0.2872797668292002
"And then you're looking at a lot of how to do, ""I have problems with my mother"" -- that's not more likely to be more expensive.","And if you share too much, like, ""I'm having issues with my mother,"" acceptance rates also go down.",0.0
So there's a single-and-to-a-a-half-half-half-to-s.,"But there's a zone that's just right, like, ""Love the artwork in your place. Coming for vacation with my family.""",0.0
"How can you create it with design, this  ⁇ ero of the moment?",So how do we design for just the right amount of disclosure?,0.0
"We use the size of the text, to try to make the right amount of text, and we're also going to give you some kind of the key thing.","We use the size of the box to suggest the right length, and we guide them with prompts to encourage sharing.",0.18860270984795904
"Our whole company, for hope, to help the right design can help our moral design, to make our moral design.","We bet our whole company on the hope that, with the right design, people would be willing to overcome the stranger-danger bias.",0.0
"We didn't have a lot of the big amount of people who were willing to be ready to be ready than ready, these kinds of things.",What we didn't realize is just how many people were ready and waiting to put the bias aside.,0.0
"Here you see, how many people are going to take our support in this.",This is a graph that shows our rate of adoption.,0.0
You can see three things.,There's three things happening here.,0.0
"First, incredible happiness.","The first, an unbelievable amount of luck.",0.0
Second: the more efficient of our students.,The second is the efforts of our team.,0.0
"Third: one need for one, which was not seen before.",And third is the existence of a previously unsatisfied need.,0.0
"For us, the business is very good.","Now, things have been going pretty well.",0.0
"Of course, there are times, if not, it's all the way.","Obviously, there are times when things don't work out.",0.17395797375642236
"There were the most famous, the most famous-touch or the individuals.",Guests have thrown unauthorized parties and trashed homes.,0.0
Habel have Gail the most famous in the rain.,Hosts have left guests stranded in the rain.,0.2777619034011791
"At the beginning of the project, I've been in the clients of the field, I've got to come up in the front of the room, and all the students came out of my cell phone.","In the early days, I was customer service, and those calls came right to my cell phone.",0.07978741405529223
I stood up with the front of the front of the way that the trust was done.,I was at the front lines of trust breaking.,0.0
There's nothing no longer known as these -- it's already known when I think it's just about it.,"And there's nothing worse than those calls, it hurts to even think about them.",0.0
"The sound you're in the voice of the voice, and it's always our greatest problem, and it's always going to be our biggest motivation.","And the disappointment in the sound of someone's voice was and, I would say, still is our single greatest motivator to keep improving.",0.0
"Fortunately, from the 123 million times, only one of the most of the most famous life, a half of the problem.","Thankfully, out of the 123 million nights we've ever hosted, less than a fraction of a percent have been problematic.",0.0
Because people were willing to be right.,"Turns out, people are justified in their trust.",0.0
"If the trust, can make wonder, make a miracle.","And when trust works out right, it can be absolutely magical.",0.0
"One of our Gail did in U.K., he got a heart attack.","We had a guest stay with a host in Uruguay, and he suffered a heart attack.",0.15526320210133507
His name went to the hospital.,The host rushed him to the hospital.,0.3564026463354183
"He even started to blood vessels for the ""The B.",They donated their own blood for his operation.,0.0
Here's his head.,Let me read you his review.,0.0
"""The house for a lot of the way to get the because of the heart attack of the heart attack.","""Excellent house for sedentary travelers prone to myocardial infarctions.",0.0
The area is beautiful and has been a lot of a lot of a sudden.,The area is beautiful and has direct access to the best hospitals.,0.31314224813827346
"Yeah and A and ACas are real, the real estate that save a life, although they don't know.",Javier and Alejandra instantly become guardian angels who will save your life without even knowing you.,0.0
"They're going to go into your own car, and you'll wait, and wait, while you get a Bam.",They will rush you to the hospital in their own car while you're dying and stay in the waiting room while the doctors give you a bypass.,0.0
Because they don't want you to feel a sense of books.,"They don't want you to feel lonely, they bring you books to read.",0.27768190272719007
"They even stay longer, without the extra dimensions to make a more than the  ⁇ N.",And they let you stay at their house extra nights without charging you.,0.0
I can just be able to do it ⁇ ,"Highly recommended ⁇ """,0.0
"So, of course, no one is not every one of them.","Of course, not every stay is like that.",0.0
But these relationships behind money behind money are exactly the same thing that you want to do with the Share.,But this connection beyond the transaction is exactly what the sharing economy is aiming for.,0.0
"When I was talking about this term, I asked myself.","Now, when I heard that term, I have to admit, it tripped me up.",0.0
How the thought of the thought of the thought of the money with money?,How do sharing and transactions go together?,0.0
It's about a economic growth.,So let's be clear; it is about commerce.,0.0
"But it's just to call ""Map"" to call the thing that's not quite strange.","But if you just called it the rental economy, it would be incomplete.",0.0
"Sharezonzon a healthy, the human relationships.",The sharing economy is commerce with the promise of human connection.,0.0
"People have part of themselves, and it changes everything.","People share a part of themselves, and that changes everything.",0.4412739850976205
"If you look at the same time, it's with fast food, and it's more efficient and more efficient, but it's less than it's.","You know how most travel today is, like, I think of it like fast food -- it's efficient and consistent, at the cost of local and authentic.",0.0
"But what if a healthy-term, if a long-term flu, would be local local local local local?",What if travel were like a magnificent buffet of local experiences?,0.0
